"transaction_id","date","client_id","produit_id","vendeur_id","quantite","prix_unitaire","montant_total","methode_paiement","statut_livraison","delai_livraison_jours"
"TRX00000001",2023-01-01,"CLI00008","PROD0100","VEND007",1,1299.97,1299.97,"CB","Livré",4
"TRX00000002",2023-01-01,"CLI00104","PROD0080","VEND014",1,130.8,130.8,"PayPal","Livré",3
"TRX00000003",2023-01-01,"CLI00251","PROD0018","VEND002",2,170.35,340.7,"PayPal","Livré",5
"TRX00000004",2023-01-01,"CLI00228","PROD0039","VEND018",2,735.61,1471.22,"PayPal","Livré",4
"TRX00000005",2023-01-01,"CLI00122","PROD0096","VEND004",3,140.16,420.48,"PayPal","Livré",4
"TRX00000006",2023-01-01,"CLI00045","PROD0013","VEND003",1,282.5,282.5,"PayPal","Annulé",0
"TRX00000007",2023-01-01,"CLI00047","PROD0033","VEND019",3,293.19,879.57,"CB","Livré",4
"TRX00000008",2023-01-01,"CLI00296","PROD0016","VEND001",3,1012.87,3038.61,"Virement","Livré",4
"TRX00000009",2023-01-01,"CLI00047","PROD0025","VEND009",1,128.72,128.72,"PayPal","Livré",4
"TRX00000010",2023-01-01,"CLI00250","PROD0042","VEND014",3,1029.63,3088.89,"CB","Livré",2
"TRX00000011",2023-01-01,"CLI00447","PROD0060","VEND005",3,623.75,1871.25,"CB","En cours",NA
"TRX00000012",2023-01-01,"CLI00088","PROD0023","VEND008",1,228.2,228.2,"CB","Livré",5
"TRX00000013",2023-01-02,"CLI00058","PROD0016","VEND011",1,1511.21,1511.21,"CB","Livré",5
"TRX00000014",2023-01-02,"CLI00334","PROD0005","VEND019",1,1737.28,1737.28,"CB","Livré",1
"TRX00000015",2023-01-02,"CLI00374","PROD0041","VEND015",1,55.88,55.88,"CB","Livré",4
"TRX00000016",2023-01-02,"CLI00414","PROD0010","VEND002",1,431.25,431.25,"PayPal","Livré",4
"TRX00000017",2023-01-02,"CLI00197","PROD0076","VEND016",1,63.75,63.75,"CB","Livré",8
"TRX00000018",2023-01-02,"CLI00117","PROD0083","VEND016",1,987.18,987.18,"CB","Livré",6
"TRX00000019",2023-01-02,"CLI00085","PROD0072","VEND003",3,268.63,805.89,"CB","Annulé",0
"TRX00000020",2023-01-02,"CLI00002","PROD0021","VEND014",4,812.28,3249.12,"CB","Livré",7
"TRX00000021",2023-01-02,"CLI00067","PROD0034","VEND007",1,479.77,479.77,"PayPal","Livré",4
"TRX00000022",2023-01-02,"CLI00084","PROD0057","VEND016",1,101.03,101.03,"CB","Livré",3
"TRX00000023",2023-01-02,"CLI00075","PROD0077","VEND002",2,532.75,1065.5,"CB","Livré",3
"TRX00000024",2023-01-02,"CLI00154","PROD0028","VEND004",2,204.41,408.82,"CB","Livré",4
"TRX00000025",2023-01-02,"CLI00171","PROD0094","VEND016",1,580.73,580.73,"CB","Livré",2
"TRX00000026",2023-01-03,"CLI00453","PROD0054","VEND004",4,59.96,239.84,"Virement","Livré",3
"TRX00000027",2023-01-03,"CLI00478","PROD0024","VEND004",4,1897.23,7588.92,"CB","Livré",4
"TRX00000028",2023-01-03,"CLI00469","PROD0089","VEND010",1,2051.11,2051.11,"CB","Livré",5
"TRX00000029",2023-01-03,"CLI00330","PROD0053","VEND010",4,446.33,1785.32,"CB","Livré",4
"TRX00000030",2023-01-03,"CLI00120","PROD0015","VEND002",2,119.24,238.48,"PayPal","Livré",5
"TRX00000031",2023-01-03,"CLI00264","PROD0063","VEND003",1,550.7,550.7,"CB","Livré",1
"TRX00000032",2023-01-03,"CLI00487","PROD0095","VEND015",5,660.46,3302.3,"Virement","Livré",4
"TRX00000033",2023-01-03,"CLI00264","PROD0037","VEND008",1,219.35,219.35,"CB","Livré",4
"TRX00000034",2023-01-03,"CLI00061","PROD0094","VEND019",1,465.28,465.28,"Virement","Livré",3
"TRX00000035",2023-01-03,"CLI00422","PROD0019","VEND009",1,1165.29,1165.29,"CB","Livré",1
"TRX00000036",2023-01-03,"CLI00343","PROD0023","VEND015",1,415.18,415.18,"CB","Livré",3
"TRX00000037",2023-01-03,"CLI00151","PROD0037","VEND013",5,157.31,786.55,"PayPal","Livré",5
"TRX00000038",2023-01-03,"CLI00438","PROD0072","VEND001",1,223.29,223.29,"PayPal","Livré",4
"TRX00000039",2023-01-04,"CLI00477","PROD0099","VEND007",1,487.99,487.99,"PayPal","Livré",2
"TRX00000040",2023-01-04,"CLI00174","PROD0041","VEND012",1,45.77,45.77,"CB","Livré",3
"TRX00000041",2023-01-04,"CLI00255","PROD0095","VEND015",1,955.35,955.35,"PayPal","Livré",1
"TRX00000042",2023-01-04,"CLI00215","PROD0093","VEND015",1,797.69,797.69,"CB","Livré",3
"TRX00000043",2023-01-04,"CLI00202","PROD0031","VEND012",2,1419.97,2839.94,"CB","Livré",5
"TRX00000044",2023-01-04,"CLI00092","PROD0053","VEND014",4,515.77,2063.08,"CB","Livré",3
"TRX00000045",2023-01-04,"CLI00190","PROD0037","VEND009",1,203.29,203.29,"CB","Livré",8
"TRX00000046",2023-01-04,"CLI00145","PROD0061","VEND017",2,176.81,353.62,"PayPal","Livré",5
"TRX00000047",2023-01-04,"CLI00185","PROD0018","VEND017",2,128.38,256.76,"CB","Livré",7
"TRX00000048",2023-01-04,"CLI00283","PROD0045","VEND020",3,166.95,500.85,"CB","Livré",7
"TRX00000049",2023-01-04,"CLI00491","PROD0096","VEND013",2,82.86,165.72,"CB","Livré",3
"TRX00000050",2023-01-04,"CLI00057","PROD0008","VEND006",2,1224.6,2449.2,"CB","Livré",4
"TRX00000051",2023-01-04,"CLI00140","PROD0099","VEND001",1,379.72,379.72,"PayPal","Livré",4
"TRX00000052",2023-01-04,"CLI00342","PROD0007","VEND003",1,656.77,656.77,"CB","Livré",2
"TRX00000053",2023-01-05,"CLI00449","PROD0075","VEND010",3,1139.83,3419.49,"CB","Livré",4
"TRX00000054",2023-01-05,"CLI00358","PROD0028","VEND001",1,247.34,247.34,"PayPal","Livré",1
"TRX00000055",2023-01-05,"CLI00422","PROD0077","VEND008",1,467.51,467.51,"CB","Livré",5
"TRX00000056",2023-01-05,"CLI00135","PROD0070","VEND015",2,1043.61,2087.22,"Virement","Livré",3
"TRX00000057",2023-01-05,"CLI00397","PROD0090","VEND011",1,121.46,121.46,"PayPal","Livré",4
"TRX00000058",2023-01-05,"CLI00188","PROD0074","VEND006",3,161.35,484.05,"CB","Livré",4
"TRX00000059",2023-01-05,"CLI00445","PROD0012","VEND003",1,1115.82,1115.82,"CB","Livré",6
"TRX00000060",2023-01-05,"CLI00401","PROD0054","VEND017",3,42.79,128.37,"CB","Livré",5
"TRX00000061",2023-01-05,"CLI00408","PROD0062","VEND012",5,131.44,657.2,"CB","Livré",1
"TRX00000062",2023-01-06,"CLI00259","PROD0062","VEND011",1,165.22,165.22,"CB","Livré",5
"TRX00000063",2023-01-06,"CLI00038","PROD0063","VEND008",1,926.77,926.77,"CB","Livré",4
"TRX00000064",2023-01-06,"CLI00275","PROD0099","VEND010",3,359.85,1079.55,"CB","Livré",3
"TRX00000065",2023-01-06,"CLI00311","PROD0032","VEND013",1,2057.23,2057.23,"PayPal","Livré",8
"TRX00000066",2023-01-06,"CLI00267","PROD0016","VEND017",1,1027.53,1027.53,"CB","Livré",9
"TRX00000067",2023-01-06,"CLI00292","PROD0002","VEND003",1,166.97,166.97,"CB","Livré",8
"TRX00000068",2023-01-06,"CLI00206","PROD0040","VEND002",2,157.63,315.26,"PayPal","Livré",3
"TRX00000069",2023-01-06,"CLI00075","PROD0064","VEND003",2,60.9,121.8,"CB","Livré",5
"TRX00000070",2023-01-07,"CLI00095","PROD0071","VEND003",1,631.37,631.37,"CB","Livré",5
"TRX00000071",2023-01-07,"CLI00385","PROD0047","VEND003",4,42.07,168.28,"PayPal","Livré",3
"TRX00000072",2023-01-07,"CLI00216","PROD0038","VEND011",2,111.73,223.46,"Virement","Livré",5
"TRX00000073",2023-01-07,"CLI00165","PROD0091","VEND014",1,134.38,134.38,"CB","Annulé",0
"TRX00000074",2023-01-07,"CLI00312","PROD0034","VEND018",2,573.55,1147.1,"PayPal","Livré",5
"TRX00000075",2023-01-07,"CLI00354","PROD0097","VEND017",1,732.26,732.26,"CB","Livré",3
"TRX00000076",2023-01-07,"CLI00274","PROD0074","VEND004",1,165.57,165.57,"CB","Livré",3
"TRX00000077",2023-01-07,"CLI00450","PROD0093","VEND010",1,1052.59,1052.59,"CB","Livré",5
"TRX00000078",2023-01-07,"CLI00371","PROD0088","VEND005",1,886.47,886.47,"CB","Livré",3
"TRX00000079",2023-01-07,"CLI00121","PROD0021","VEND004",1,1202.02,1202.02,"CB","En cours",NA
"TRX00000080",2023-01-07,"CLI00318","PROD0010","VEND003",2,308.78,617.56,"CB","Livré",1
"TRX00000081",2023-01-07,"CLI00313","PROD0077","VEND009",1,473.77,473.77,"PayPal","Livré",4
"TRX00000082",2023-01-07,"CLI00473","PROD0063","VEND014",5,944.04,4720.2,"CB","Livré",5
"TRX00000083",2023-01-08,"CLI00019","PROD0081","VEND011",1,185.24,185.24,"PayPal","Livré",4
"TRX00000084",2023-01-08,"CLI00154","PROD0034","VEND008",1,592.79,592.79,"CB","Livré",4
"TRX00000085",2023-01-08,"CLI00341","PROD0011","VEND009",1,1008.01,1008.01,"CB","En cours",NA
"TRX00000086",2023-01-08,"CLI00223","PROD0054","VEND011",1,52.43,52.43,"CB","Livré",3
"TRX00000087",2023-01-08,"CLI00151","PROD0040","VEND019",1,170.41,170.41,"PayPal","Livré",4
"TRX00000088",2023-01-08,"CLI00001","PROD0078","VEND015",1,212.5,212.5,"CB","Livré",4
"TRX00000089",2023-01-08,"CLI00001","PROD0066","VEND005",1,1711.04,1711.04,"CB","Livré",3
"TRX00000090",2023-01-08,"CLI00177","PROD0052","VEND016",4,857,3428,"CB","Livré",2
"TRX00000091",2023-01-08,"CLI00499","PROD0044","VEND004",3,428.77,1286.31,"Virement","Livré",3
"TRX00000092",2023-01-08,"CLI00361","PROD0072","VEND002",2,224.03,448.06,"CB","Livré",10
"TRX00000093",2023-01-09,"CLI00376","PROD0093","VEND002",2,1316.47,2632.94,"PayPal","En cours",NA
"TRX00000094",2023-01-09,"CLI00384","PROD0068","VEND005",1,510.98,510.98,"CB","Livré",4
"TRX00000095",2023-01-09,"CLI00173","PROD0039","VEND020",1,600.44,600.44,"CB","Annulé",0
"TRX00000096",2023-01-09,"CLI00210","PROD0023","VEND003",1,347.33,347.33,"CB","Livré",1
"TRX00000097",2023-01-09,"CLI00301","PROD0091","VEND014",1,91.34,91.34,"CB","Livré",4
"TRX00000098",2023-01-09,"CLI00380","PROD0055","VEND001",1,209.46,209.46,"Virement","Annulé",0
"TRX00000099",2023-01-09,"CLI00021","PROD0085","VEND008",3,122.06,366.18,"PayPal","Livré",5
"TRX00000100",2023-01-09,"CLI00114","PROD0031","VEND020",2,1410.38,2820.76,"CB","Livré",4
"TRX00000101",2023-01-09,"CLI00015","PROD0049","VEND002",1,72.09,72.09,"CB","Livré",3
"TRX00000102",2023-01-09,"CLI00258","PROD0069","VEND017",1,580.32,580.32,"PayPal","Livré",4
"TRX00000103",2023-01-09,"CLI00332","PROD0005","VEND018",2,1628.4,3256.8,"PayPal","Livré",5
"TRX00000104",2023-01-09,"CLI00040","PROD0068","VEND013",1,519.76,519.76,"CB","Livré",6
"TRX00000105",2023-01-09,"CLI00223","PROD0062","VEND001",1,164.4,164.4,"CB","Livré",4
"TRX00000106",2023-01-09,"CLI00424","PROD0009","VEND019",1,301.16,301.16,"PayPal","Livré",4
"TRX00000107",2023-01-09,"CLI00347","PROD0018","VEND006",2,179.39,358.78,"PayPal","Livré",5
"TRX00000108",2023-01-09,"CLI00110","PROD0083","VEND002",3,893.11,2679.33,"PayPal","Livré",3
"TRX00000109",2023-01-09,"CLI00199","PROD0089","VEND010",1,2168.5,2168.5,"CB","Livré",6
"TRX00000110",2023-01-09,"CLI00303","PROD0049","VEND015",3,44.07,132.21,"CB","Livré",4
"TRX00000111",2023-01-10,"CLI00413","PROD0012","VEND008",2,1708.5,3417,"PayPal","Livré",4
"TRX00000112",2023-01-10,"CLI00360","PROD0034","VEND018",2,620.68,1241.36,"CB","Livré",9
"TRX00000113",2023-01-10,"CLI00296","PROD0093","VEND010",1,989.22,989.22,"Virement","Livré",2
"TRX00000114",2023-01-10,"CLI00069","PROD0067","VEND010",1,408.68,408.68,"CB","Livré",5
"TRX00000115",2023-01-10,"CLI00215","PROD0042","VEND015",3,1497.94,4493.82,"CB","Livré",5
"TRX00000116",2023-01-10,"CLI00409","PROD0039","VEND008",2,571.61,1143.22,"Virement","Livré",4
"TRX00000117",2023-01-10,"CLI00365","PROD0078","VEND016",5,200.19,1000.95,"PayPal","Livré",6
"TRX00000118",2023-01-10,"CLI00192","PROD0062","VEND017",3,97.22,291.66,"CB","Livré",5
"TRX00000119",2023-01-10,"CLI00034","PROD0008","VEND020",1,1033.74,1033.74,"Virement","Livré",5
"TRX00000120",2023-01-10,"CLI00121","PROD0058","VEND008",2,913.19,1826.38,"CB","Livré",4
"TRX00000121",2023-01-10,"CLI00087","PROD0078","VEND004",1,286.72,286.72,"CB","Livré",5
"TRX00000122",2023-01-10,"CLI00216","PROD0052","VEND006",1,558.22,558.22,"PayPal","Livré",3
"TRX00000123",2023-01-10,"CLI00444","PROD0001","VEND001",1,52.65,52.65,"CB","Livré",3
"TRX00000124",2023-01-11,"CLI00046","PROD0076","VEND005",5,122.57,612.85,"PayPal","Livré",3
"TRX00000125",2023-01-11,"CLI00468","PROD0079","VEND006",5,1073.28,5366.4,"CB","Livré",4
"TRX00000126",2023-01-11,"CLI00163","PROD0058","VEND014",2,528.84,1057.68,"PayPal","Livré",7
"TRX00000127",2023-01-11,"CLI00183","PROD0034","VEND003",3,443.34,1330.02,"Virement","Livré",2
"TRX00000128",2023-01-11,"CLI00011","PROD0008","VEND020",4,1196.73,4786.92,"PayPal","Livré",5
"TRX00000129",2023-01-11,"CLI00315","PROD0033","VEND018",1,218.83,218.83,"CB","Livré",4
"TRX00000130",2023-01-11,"CLI00238","PROD0031","VEND015",1,1354.05,1354.05,"CB","Livré",7
"TRX00000131",2023-01-11,"CLI00149","PROD0042","VEND014",3,1332,3996,"CB","Annulé",0
"TRX00000132",2023-01-11,"CLI00450","PROD0048","VEND019",2,558.06,1116.12,"CB","Livré",7
"TRX00000133",2023-01-11,"CLI00315","PROD0085","VEND013",1,139.05,139.05,"PayPal","Livré",2
"TRX00000134",2023-01-12,"CLI00121","PROD0061","VEND003",3,191.66,574.98,"CB","Livré",1
"TRX00000135",2023-01-12,"CLI00015","PROD0059","VEND016",2,1458.6,2917.2,"PayPal","Livré",4
"TRX00000136",2023-01-12,"CLI00404","PROD0006","VEND011",1,153.77,153.77,"CB","Livré",4
"TRX00000137",2023-01-13,"CLI00250","PROD0053","VEND013",1,516.77,516.77,"CB","Livré",2
"TRX00000138",2023-01-13,"CLI00177","PROD0028","VEND003",1,303.16,303.16,"PayPal","En cours",NA
"TRX00000139",2023-01-13,"CLI00463","PROD0083","VEND008",2,1203.76,2407.52,"Virement","Livré",4
"TRX00000140",2023-01-13,"CLI00230","PROD0083","VEND013",1,1618.91,1618.91,"CB","Livré",7
"TRX00000141",2023-01-13,"CLI00499","PROD0012","VEND006",2,1788.69,3577.38,"PayPal","Livré",1
"TRX00000142",2023-01-13,"CLI00309","PROD0043","VEND020",2,952.41,1904.82,"CB","Livré",5
"TRX00000143",2023-01-13,"CLI00295","PROD0022","VEND007",1,583.78,583.78,"CB","Livré",5
"TRX00000144",2023-01-13,"CLI00102","PROD0047","VEND002",1,51.67,51.67,"CB","Livré",6
"TRX00000145",2023-01-13,"CLI00324","PROD0012","VEND016",1,1006.14,1006.14,"CB","Livré",2
"TRX00000146",2023-01-13,"CLI00265","PROD0081","VEND016",1,212.08,212.08,"PayPal","Livré",6
"TRX00000147",2023-01-13,"CLI00044","PROD0029","VEND018",1,181.35,181.35,"PayPal","Livré",4
"TRX00000148",2023-01-13,"CLI00017","PROD0032","VEND010",3,1940.23,5820.69,"PayPal","Livré",5
"TRX00000149",2023-01-13,"CLI00071","PROD0051","VEND004",1,40.55,40.55,"CB","Livré",4
"TRX00000150",2023-01-13,"CLI00253","PROD0015","VEND002",2,103.38,206.76,"CB","Livré",4
"TRX00000151",2023-01-13,"CLI00348","PROD0050","VEND011",2,820.32,1640.64,"PayPal","Livré",5
"TRX00000152",2023-01-14,"CLI00083","PROD0057","VEND009",2,144.64,289.28,"CB","Livré",3
"TRX00000153",2023-01-14,"CLI00331","PROD0019","VEND004",3,979.88,2939.64,"Virement","Livré",4
"TRX00000154",2023-01-14,"CLI00352","PROD0068","VEND016",2,461.94,923.88,"CB","Livré",6
"TRX00000155",2023-01-14,"CLI00469","PROD0052","VEND016",1,791.4,791.4,"PayPal","Livré",6
"TRX00000156",2023-01-14,"CLI00155","PROD0079","VEND015",2,999.63,1999.26,"Virement","Livré",4
"TRX00000157",2023-01-14,"CLI00409","PROD0008","VEND002",3,1543.6,4630.8,"CB","En cours",NA
"TRX00000158",2023-01-14,"CLI00120","PROD0005","VEND014",1,1273.32,1273.32,"CB","Livré",2
"TRX00000159",2023-01-14,"CLI00304","PROD0082","VEND015",3,494.29,1482.87,"CB","Livré",5
"TRX00000160",2023-01-14,"CLI00093","PROD0048","VEND003",1,516.76,516.76,"PayPal","Annulé",0
"TRX00000161",2023-01-14,"CLI00410","PROD0070","VEND012",1,895.33,895.33,"CB","En cours",NA
"TRX00000162",2023-01-14,"CLI00357","PROD0042","VEND013",2,1509.11,3018.22,"PayPal","Livré",4
"TRX00000163",2023-01-14,"CLI00322","PROD0057","VEND014",1,170.05,170.05,"CB","Livré",3
"TRX00000164",2023-01-14,"CLI00276","PROD0008","VEND008",2,1313.14,2626.28,"CB","Livré",2
"TRX00000165",2023-01-14,"CLI00222","PROD0052","VEND006",1,582.99,582.99,"PayPal","Livré",3
"TRX00000166",2023-01-14,"CLI00092","PROD0099","VEND017",1,566.87,566.87,"PayPal","Livré",3
"TRX00000167",2023-01-14,"CLI00269","PROD0019","VEND015",3,1253.92,3761.76,"PayPal","Livré",5
"TRX00000168",2023-01-14,"CLI00006","PROD0049","VEND018",1,59.25,59.25,"Virement","Livré",6
"TRX00000169",2023-01-15,"CLI00192","PROD0093","VEND008",1,1187.03,1187.03,"PayPal","Livré",1
"TRX00000170",2023-01-15,"CLI00317","PROD0055","VEND006",2,265.92,531.84,"PayPal","Livré",3
"TRX00000171",2023-01-15,"CLI00389","PROD0071","VEND015",4,441.96,1767.84,"Virement","Livré",6
"TRX00000172",2023-01-15,"CLI00367","PROD0031","VEND020",4,1141.46,4565.84,"PayPal","Livré",3
"TRX00000173",2023-01-15,"CLI00440","PROD0045","VEND011",1,193.35,193.35,"CB","Livré",9
"TRX00000174",2023-01-15,"CLI00095","PROD0069","VEND009",2,379.71,759.42,"CB","Livré",6
"TRX00000175",2023-01-15,"CLI00399","PROD0083","VEND010",1,1186.38,1186.38,"PayPal","Livré",4
"TRX00000176",2023-01-15,"CLI00025","PROD0022","VEND015",1,729.57,729.57,"CB","Livré",6
"TRX00000177",2023-01-16,"CLI00012","PROD0026","VEND020",1,424.43,424.43,"CB","Livré",6
"TRX00000178",2023-01-16,"CLI00348","PROD0019","VEND012",3,1142.32,3426.96,"PayPal","Livré",4
"TRX00000179",2023-01-16,"CLI00466","PROD0058","VEND017",1,897.52,897.52,"PayPal","Livré",4
"TRX00000180",2023-01-16,"CLI00141","PROD0052","VEND006",1,971.59,971.59,"Virement","Livré",3
"TRX00000181",2023-01-16,"CLI00080","PROD0004","VEND014",2,1976.05,3952.1,"CB","Livré",5
"TRX00000182",2023-01-16,"CLI00256","PROD0029","VEND001",2,159.59,319.18,"Virement","Annulé",0
"TRX00000183",2023-01-16,"CLI00319","PROD0042","VEND002",1,1317.29,1317.29,"CB","Livré",3
"TRX00000184",2023-01-16,"CLI00373","PROD0027","VEND015",3,1294.31,3882.93,"CB","Livré",4
"TRX00000185",2023-01-16,"CLI00245","PROD0079","VEND015",1,1047.08,1047.08,"CB","Livré",5
"TRX00000186",2023-01-16,"CLI00234","PROD0026","VEND012",4,475.41,1901.64,"CB","Livré",8
"TRX00000187",2023-01-16,"CLI00047","PROD0057","VEND006",2,119.91,239.82,"CB","Livré",3
"TRX00000188",2023-01-17,"CLI00476","PROD0051","VEND012",4,42.78,171.12,"CB","Livré",5
"TRX00000189",2023-01-17,"CLI00016","PROD0033","VEND020",1,196.42,196.42,"PayPal","Livré",2
"TRX00000190",2023-01-17,"CLI00468","PROD0074","VEND003",4,173.96,695.84,"CB","Livré",7
