"annee_mois","CA","date_mensuelle"
"2023-01",418473.18,2023-01-01
"2023-02",345612.53,2023-02-01
"2023-03",415140.68,2023-03-01
"2023-04",408392.89,2023-04-01
"2023-05",374029.95,2023-05-01
"2023-06",415348.69,2023-06-01
"2023-07",381920.81,2023-07-01
"2023-08",372361.12,2023-08-01
"2023-09",328577.56,2023-09-01
"2023-10",395571.17,2023-10-01
"2023-11",774248.67,2023-11-01
"2023-12",809900.19,2023-12-01
"2024-01",421487.78,2024-01-01
"2024-02",403889.46,2024-02-01
"2024-03",360245.69,2024-03-01
"2024-04",406340.72,2024-04-01
"2024-05",400658.65,2024-05-01
"2024-06",354358.89,2024-06-01
"2024-07",458726.46,2024-07-01
"2024-08",422873.81,2024-08-01
"2024-09",357030.32,2024-09-01
"2024-10",372380.2,2024-10-01
"2024-11",783261.1,2024-11-01
"2024-12",823988.07,2024-12-01
